#MS;#ERR;#SP;#COM;#CMD;#KP;#KI;#KD;#SPE;#SPM
#Elapsed time (ms);#Error;#SetPoint;#Command;#Cmd;#Kp gain;#Ki gain;#Kd gain;#Speed;#Av. speed
3729.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3749.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3769.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3789.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3809.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3829.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3849.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3869.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3889.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3909.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3929.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3949.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3969.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;0.0000
3989.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
4009.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;1.0000
4029.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
4049.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;2.0000
4069.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
4089.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
4109.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
4129.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
4149.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
4169.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
4189.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
4209.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
4229.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4249.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;12.0000
4269.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4289.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4309.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4329.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4349.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4369.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;20.0000
4389.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;21.0000
4409.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;21.0000
4429.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;21.0000
4449.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4469.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4489.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4509.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4529.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4549.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4569.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
4589.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
4609.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
4629.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
4649.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
4669.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
4689.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
4709.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
4729.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
4749.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
4769.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
4789.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
4809.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;1.0000
4829.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;2.0000
4849.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
4869.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
4889.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
4909.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4929.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4949.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;12.0000
4969.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4989.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
5009.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
5029.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
5049.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
5069.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
5089.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
5109.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
5129.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
5149.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
5169.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;12.0000
5189.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
